"","Type","KeyCite.Treatment","KeyCite.URL","Title","Document.URL","Court.Line","Filed.Date","Citation","Cite.Caveat","Parallel.Cite","Docket.Num","X","year"
"11","Cases","","","Brunswick Corp. v. Pueblo Bowl-O-Mat, Inc.","https://www.westlaw.com/Document/Ida14a33b9c0711d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=62&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","February 23, 1976","424 U.S. 908",NA,"96 S.Ct. 1101 (Mem)","75 904",NA,1976
"12","Cases","","","F.T.C. v. Henry Broch & Co.","https://www.westlaw.com/Document/Id38feb569be911d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=68&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","January 15, 1962","368 U.S. 360",NA,"82 S.Ct. 431","74",NA,1962
"13","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ibdeab96a9c2511d9bc61beebb95be672&rank=71&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Rotella v. Wood","https://www.westlaw.com/Document/Ibdeab96a9c2511d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=71&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","February 23, 2000","528 U.S. 549",NA,"120 S.Ct. 1075","98-896",NA,2000
"14","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d23a3da9c9711d993e6d35cc61aab4a&rank=72&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U. S. v. El Paso Natural Gas Co.","https://www.westlaw.com/Document/I1d23a3da9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=72&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","April 06, 1964","376 U.S. 651",NA,"84 S.Ct. 1044","94",NA,1964
"15","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Iab8f6ca59bf011d991d0cc6b54f12d4d&rank=74&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U. S. v. Connecticut Nat. Bank","https://www.westlaw.com/Document/Iab8f6ca59bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=74&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 26, 1974","418 U.S. 656",NA,"94 S.Ct. 2788","73-767",NA,1974
"16","Cases","","","U. S. v. Michigan Nat. Corp.","https://www.westlaw.com/Document/I5abaff3b9be911d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=75&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","October 21, 1974","419 U.S. 1",NA,"95 S.Ct. 10","=""73-1737""",NA,1974
"17","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I222310d29bf011d993e6d35cc61aab4a&rank=83&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Moore v. Mead's Fine Bread Company","https://www.westlaw.com/Document/I222310d29bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=83&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","December 06, 1954","348 U.S. 115",NA,"75 S.Ct. 148","121",NA,1954
"18","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie9c015339c1b11d9bdd1cfdd544ca3a4&rank=85&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Cascade Natural Gas Corp. v. El Paso Natural Gas Co.","https://www.westlaw.com/Document/Ie9c015339c1b11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=85&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","February 27, 1967","386 U.S. 129",NA,"87 S.Ct. 932","156297, 4",NA,1967
"19","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ia48e1c339c4a11d991d0cc6b54f12d4d&rank=86&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","McKennon v. Nashville Banner Pub. Co.","https://www.westlaw.com/Document/Ia48e1c339c4a11d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=86&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","January 23, 1995","513 U.S. 352",NA,"115 S.Ct. 879","=""93-1543""",NA,1995
"20","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea04e299c9611d993e6d35cc61aab4a&rank=87&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U.S. v. Marine Bancorporation, Inc.","https://www.westlaw.com/Document/Icea04e299c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=87&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 26, 1974","418 U.S. 602",NA,"94 S.Ct. 2856","73-38",NA,1974
"21","Cases","","","Safeway Stores v. Vance","https://www.westlaw.com/Document/I0a3df8399bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=88&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","January 20, 1958","355 U.S. 389",NA,"78 S.Ct. 358","69",NA,1958
"22","Cases","","","U. S. v. Boston & M. R. R.","https://www.westlaw.com/Document/I18e406fb9bea11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=93&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","March 08, 1965","380 U.S. 157",NA,"85 S.Ct. 868","232",NA,1965
"23","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea0753d9c9611d993e6d35cc61aab4a&rank=96&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U. S. v. General Dynamics Corp.","https://www.westlaw.com/Document/Icea0753d9c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=96&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","March 19, 1974","415 U.S. 486",NA,"94 S.Ct. 1186","72-402",NA,1974
"24","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I0210e51c36e911e6a807ad48145ed9f1&rank=97&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","RJR Nabisco, Inc. v. European Community","https://www.westlaw.com/Document/I0210e51c36e911e6a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=97&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 20, 2016","579 U.S. 325",NA,"136 S.Ct. 2090","15-138",NA,2016
"25","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea1adbf9c9611d993e6d35cc61aab4a&rank=100&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","F.T.C. v. Dean Foods Co.","https://www.westlaw.com/Document/Icea1adbf9c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=100&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 13, 1966","384 U.S. 597",NA,"86 S.Ct. 1738","970",NA,1966
"26","Cases","","","Seaboard Air Line R. Co. v. U. S.","https://www.westlaw.com/Document/Ic83981029be811d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=102&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","November 22, 1965","382 U.S. 154",NA,"86 S.Ct. 277","555, 425",NA,1965
"27","Cases","","","Moog Industries v. Federal Trade Commission","https://www.westlaw.com/Document/I1d2726519c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=104&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","January 27, 1958","355 U.S. 411",NA,"78 S.Ct. 377","110, 77",NA,1958
"28","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d25edca9c9711d993e6d35cc61aab4a&rank=105&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Perkins v. Standard Oil Co. of Cal.","https://www.westlaw.com/Document/I1d25edca9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=105&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 16, 1969","395 U.S. 642",NA,"89 S.Ct. 1871","624",NA,1969
"29","Cases","","","F.T.C. v. Universal-Rundle Corp.","https://www.westlaw.com/Document/I0a3d5bf79bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=109&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","May 29, 1967","387 U.S. 244",NA,"87 S.Ct. 1622","101",NA,1967
"30","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d27264b9c9711d993e6d35cc61aab4a&rank=110&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","F.T.C. v. Anheuser-Busch, Inc.","https://www.westlaw.com/Document/I1d27264b9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=110&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 20, 1960","363 U.S. 536",NA,"80 S.Ct. 1267","389",NA,1960
"31","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ic838bdb49be811d991d0cc6b54f12d4d&rank=119&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Perkins v. Standard Oil Co. of Cal.","https://www.westlaw.com/Document/Ic838bdb49be811d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=119&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 23, 1970","399 U.S. 222",NA,"90 S.Ct. 1989","1507, 1556",NA,1970
"32","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d26ff3b9c9711d993e6d35cc61aab4a&rank=122&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","F.T.C. v. Sun Oil Co.","https://www.westlaw.com/Document/I1d26ff3b9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=122&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","January 14, 1963","371 U.S. 505",NA,"83 S.Ct. 358","56",NA,1963
"33","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I236c91d19c1e11d9bdd1cfdd544ca3a4&rank=131&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U.S. v. Diebold, Inc.","https://www.westlaw.com/Document/I236c91d19c1e11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=131&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","May 14, 1962","369 U.S. 654",NA,"82 S.Ct. 993","286",NA,1962
"34","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I222163239bf011d993e6d35cc61aab4a&rank=137&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Chardon v. Fumero Soto","https://www.westlaw.com/Document/I222163239bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=137&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 20, 1983","462 U.S. 650",NA,"103 S.Ct. 2611","82-271",NA,1983
"35","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d27264a9c9711d993e6d35cc61aab4a&rank=149&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","F.T.C. v. Henry Broch & Company","https://www.westlaw.com/Document/I1d27264a9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=149&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 06, 1960","363 U.S. 166",NA,"80 S.Ct. 1158","61",NA,1960
